,id,section,section_vietnamese,name,name_vietnamese,item_option,price
,,Thai Dishes,Thai Dishes,Black Bean Sauce Mussels,Black Bean Sauce Mussels,"shrimp, chicken",15.95
,,Thai Dishes,Thai Dishes,Black Bean Sauce Mussels,Black Bean Sauce Mussels,tofu - no meat,13.95
,,Thai Dishes,Thai Dishes,Chef’s Signature Stir Fried Mixed Vegetables,Chef’s Signature Stir Fried Mixed Vegetables,chicken,14.95
,,Thai Dishes,Thai Dishes,Chef’s Signature Stir Fried Mixed Vegetables,Chef’s Signature Stir Fried Mixed Vegetables,beef,15.50
,,Thai Dishes,Thai Dishes,Chef’s Signature Stir Fried Mixed Vegetables,Chef’s Signature Stir Fried Mixed Vegetables,shrimp,15.95
,,Thai Dishes,Thai Dishes,Chef’s Signature Stir Fried Mixed Vegetables,Chef’s Signature Stir Fried Mixed Vegetables,seafood,16.50
,,Thai Dishes,Thai Dishes,Chef’s Signature Stir Fried Mixed Vegetables,Chef’s Signature Stir Fried Mixed Vegetables,"shrimp, chicken",15.95
,,Thai Dishes,Thai Dishes,Chef’s Signature Stir Fried Mixed Vegetables,Chef’s Signature Stir Fried Mixed Vegetables,tofu - no meat,13.95
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","chicken, mild",14.95
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","beef, mild",15.50
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","shrimp, mild",15.95
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Seafood, mild",16.50
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","shrimp, chicken, mild",15.95
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","tofu - no meat, mild",13.95
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","chicken, spicy",14.95
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","beef, spicy",15.50
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","shrimp, spicy",15.95
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","seafood, spicy",16.50
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","shrimp, chicken, spicy",15.95
,,Thai Dishes,Thai Dishes,"Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","Thai Red Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot","tofu - no meat, spicy",13.95
,,Thai Dishes,Thai Dishes,"Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice","Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice",chicken,14.95
,,Thai Dishes,Thai Dishes,"Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice","Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice",beef,15.50
,,Thai Dishes,Thai Dishes,"Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice","Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice",shrimp,15.95
,,Thai Dishes,Thai Dishes,"Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice","Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice",seafood,16.50
,,Thai Dishes,Thai Dishes,"Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice","Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice","shrimp, chicken",15.95
,,Thai Dishes,Thai Dishes,"Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice","Thai Yellow Curry - Basil Leaves, Eggplant, Chili, Long Beans, Carrot, Potato and Bamboo Shoot on Rice",tofu - no meat,13.95
,,Thai Dishes,Thai Dishes,"Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","chicken, spicy",14.95
,,Thai Dishes,Thai Dishes,"Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","beef, spicy",15.50
,,Thai Dishes,Thai Dishes,"Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","shrimp, spicy",15.95
,,Thai Dishes,Thai Dishes,"Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","seafood, spicy",16.50
,,Thai Dishes,Thai Dishes,"Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","shrimp, chicken, spicy",15.95
,,Thai Dishes,Thai Dishes,"Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","Thai Spicy - Stir Fried with Peppers, Carrot, Pineapple, Onion","tofu - no meat, spicy",13.95
,,Thai Dishes,Thai Dishes,"Black Bean - Stir Fried Peppers, Celery, Onion","Black Bean - Stir Fried Peppers, Celery, Onion",chicken,14.95
,,Thai Dishes,Thai Dishes,"Black Bean - Stir Fried Peppers, Celery, Onion","Black Bean - Stir Fried Peppers, Celery, Onion",beef,15.50
,,Thai Dishes,Thai Dishes,"Black Bean - Stir Fried Peppers, Celery, Onion","Black Bean - Stir Fried Peppers, Celery, Onion",shrimp,15.95
,,Thai Dishes,Thai Dishes,"Black Bean - Stir Fried Peppers, Celery, Onion","Black Bean - Stir Fried Peppers, Celery, Onion",seafood,16.50
,,Thai Dishes,Thai Dishes,"Black Bean - Stir Fried Peppers, Celery, Onion","Black Bean - Stir Fried Peppers, Celery, Onion","shrimp, chicken",15.95
,,Thai Dishes,Thai Dishes,"Black Bean - Stir Fried Peppers, Celery, Onion","Black Bean - Stir Fried Peppers, Celery, Onion",tofu - no meat,13.95
,,Thai Dishes,Thai Dishes,"Mango - Stir Fried Peppers, Basil, Onion","Mango - Stir Fried Peppers, Basil, Onion",chicken,14.95
,,Thai Dishes,Thai Dishes,"Mango - Stir Fried Peppers, Basil, Onion","Mango - Stir Fried Peppers, Basil, Onion",beef,15.50
,,Thai Dishes,Thai Dishes,"Mango - Stir Fried Peppers, Basil, Onion","Mango - Stir Fried Peppers, Basil, Onion",shrimp,15.95
,,Thai Dishes,Thai Dishes,"Mango - Stir Fried Peppers, Basil, Onion","Mango - Stir Fried Peppers, Basil, Onion",seafood,16.50
,,Thai Dishes,Thai Dishes,"Mango - Stir Fried Peppers, Basil, Onion","Mango - Stir Fried Peppers, Basil, Onion","shrimp, chicken",15.95
,,Thai Dishes,Thai Dishes,"Mango - Stir Fried Peppers, Basil, Onion","Mango - Stir Fried Peppers, Basil, Onion",tofu - no meat,13.95
,,Thai Dishes,Thai Dishes,"Spicy Peanut - Stir Fried Peppers, Celery, Onion","Spicy Peanut - Stir Fried Peppers, Celery, Onion","chicken, spicy",14.95
,,Thai Dishes,Thai Dishes,"Spicy Peanut - Stir Fried Peppers, Celery, Onion","Spicy Peanut - Stir Fried Peppers, Celery, Onion","beef, spicy",15.50
,,Thai Dishes,Thai Dishes,"Spicy Peanut - Stir Fried Peppers, Celery, Onion","Spicy Peanut - Stir Fried Peppers, Celery, Onion","shrimp, spicy",15.95
,,Thai Dishes,Thai Dishes,"Spicy Peanut - Stir Fried Peppers, Celery, Onion","Spicy Peanut - Stir Fried Peppers, Celery, Onion","seafood, spicy",16.50
,,Thai Dishes,Thai Dishes,"Spicy Peanut - Stir Fried Peppers, Celery, Onion","Spicy Peanut - Stir Fried Peppers, Celery, Onion","shrimp, chicken, spicy",15.95
,,Thai Dishes,Thai Dishes,"Spicy Peanut - Stir Fried Peppers, Celery, Onion","Spicy Peanut - Stir Fried Peppers, Celery, Onion","tofu - no meat, spicy",13.95
,,Thai Dishes,Thai Dishes,Stir Fried Broccoli and Bok Choy,Stir Fried Broccoli and Bok Choy,chicken,14.95
,,Thai Dishes,Thai Dishes,Stir Fried Broccoli and Bok Choy,Stir Fried Broccoli and Bok Choy,beef,15.50
,,Thai Dishes,Thai Dishes,Stir Fried Broccoli and Bok Choy,Stir Fried Broccoli and Bok Choy,shrimp,15.95
,,Thai Dishes,Thai Dishes,Stir Fried Broccoli and Bok Choy,Stir Fried Broccoli and Bok Choy,seafood,16.50
,,Thai Dishes,Thai Dishes,Stir Fried Broccoli and Bok Choy,Stir Fried Broccoli and Bok Choy,"shrimp, chicken",15.95
,,Thai Dishes,Thai Dishes,Stir Fried Broccoli and Bok Choy,Stir Fried Broccoli and Bok Choy,tofu - no meat,13.95
,,Thai Dishes,Thai Dishes,"Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion","Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion",chicken,15.95
,,Thai Dishes,Thai Dishes,"Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion","Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion",beef,16.50
,,Thai Dishes,Thai Dishes,"Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion","Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion",shrimp,16.95
,,Thai Dishes,Thai Dishes,"Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion","Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion",seafood,17.50
,,Thai Dishes,Thai Dishes,"Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion","Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion","shrimp, chicken",16.95
,,Thai Dishes,Thai Dishes,"Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion","Cashew Nut - Stir Fried Baby Corn, Carrot, Peppers, Onion",tofu - no meat,14.95
,,Vegetarian,Vegetarian,Vegetable Spring Rolls,Cha Gio Chay,2 rolls,6.50
,,Vegetarian,Vegetarian,Vegetable Spring Rolls,Cha Gio Chay,4 rolls,12.50
,,Vegetarian,Vegetarian,Vegetable Fresh Rolls,Goi Cuon Chay,2 rolls,5.95
,,Vegetarian,Vegetarian,Vegetable Fresh Rolls,Goi Cuon Chay,4 rolls,11.50
,,Vegetarian,Vegetarian,Vegetable Pad Thai with Tofu and Egg,Pad Thai Rau Cai voi Dau Hu va Trung,,13.95
,,Vegetarian,Vegetarian,Vegetable Fried Rice with Egg,Com Chien Rau Cai voi Trung,,13.95
,,Vegetarian,Vegetarian,Stir Fried Mixed Vegetables with Egg Noodles and Tofu,Mi Xao Rau Cai voi Trung va Dau Hu,,13.95
,,Vegetarian,Vegetarian,Singapore Style Stir Fried Vermicelli with Egg,Bun Xao Rau Cai Kiểu Singapore voi Trung,,13.95
,,Vegetarian,Vegetarian,Stir Fried Mixed Vegetables with Flat Noodles and Tofu,Hu Tieu Xao Tau Cai va Dau Hu,,13.95
,,Vegetarian,Vegetarian,"Stir Fried Tofu, Mixed Vegetables",Dau Hu Xao Rau Cai,,13.95
,,Vegetarian,Vegetarian,Mixed Tofu with Eggplant,Dau Hu Xao Ca Tim,,13.95
,,Vegetarian,Vegetarian,Mixed Tofu with Broccoli,Dau Hu Xao Bong Cai Xanh,,13.95
,,Vegetarian,Vegetarian,"Stir Fried Tofu, Mixed Vegetables with Red Curry on Rice","Dau Hu Xao Rau Cai - Thai Cải Do, Com",,13.95
,,Vegetarian,Vegetarian,"Stir Fried Tofu, Mixed Vegetables with Green Curry on Rice","Dau Hu Xao Rau Cai - Thai Cai Xanh, Com",,13.95
,,Vegetarian,Vegetarian,"Stir Fried Tofu, Mixed Vegetables with Yellow Curry on Rice","Dau Hu Xao Rau Cai - Thai Cải Vang, Com",,13.95
,,Vegetarian,Vegetarian,"Stir Fried Mushroom & Tomato with Tofu, Steamed Rice","Nam, Ca chua xao Đâu hu, Com",,13.95
,,Desserts,Desserts,Three Colours Dessert,Che Ba Mau,,5.95
,,Desserts,Desserts,Lychee on Ice,Trai Vai Uop Da,,5.95
,,Desserts,Desserts,Smoothies,Sinh To,Strawberry,5.95
,,Desserts,Desserts,Smoothies,Sinh To,Avocado,5.95
,,Desserts,Desserts,Smoothies,Sinh To,Mango,5.95
,,Desserts,Desserts,Smoothies,Sinh To,Coconut,5.95
,,Desserts,Desserts,Smoothies,Sinh To,Jackfruits,5.95
,,Desserts,Desserts,Smoothies,Sinh To,Pineapple,5.95
,,Desserts,Desserts,Smoothies,Sinh To,Soup Sop,5.95
,,Desserts,Desserts,Smoothies,Sinh To,Papaya,5.95
,,Desserts,Desserts,Coconut and Mungbean Smoothies,Sinh To Đưa Xiem Đâu Xanh,,5.95
,,Desserts,Desserts,Durian Smoothies,Sinh To Sau Rieng,,5.95
,,Desserts,Desserts,Coconut Juice,Nuoc Dua Xiem,,4.95
,,Desserts,Desserts,Black Ice Coffee,Cafe Den Da,,4.95
,,Desserts,Desserts,Vietnamese Coffee with Condensed Milk,Cafe Sua Da,,4.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Strawberry,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Honeydew,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Taro,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Almond,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Lychee,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Red Bean,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Matcha,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Pineapple,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Coconut,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Mango,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Peach,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Passion Fruit,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Green Apple,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Watermelon,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Banana,5.95
,,Boba Tea,Boba Tea,Slushy,Slushy,Blueberry,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Strawberry,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Honeydew,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Taro,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Almond,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Lychee,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Red Bean,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Matcha,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Pineapple,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Coconut,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Mango,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Peach,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Passion Fruit,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Green Apple,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Watermelon,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Banana,5.95
,,Boba Tea,Boba Tea,Milk Tea,Milk Tea,Blueberry,5.95
,,Soft Drinks,Soft Drinks,Coke,Coke,,1.95
,,Soft Drinks,Soft Drinks,Diet Coke,Diet Coke,,1.95
,,Soft Drinks,Soft Drinks,Root Beer,Root Beer,,1.95
,,Soft Drinks,Soft Drinks,Sprite,Sprite,,1.95
,,Soft Drinks,Soft Drinks,Ginger Ale,Ginger Ale,,1.95
,,Soft Drinks,Soft Drinks,Iced Tea,Iced Tea,,2.25
,,Soft Drinks,Soft Drinks,Bottled Water,Bottled Water,,1.95
,,Party Trays,Party Trays,Spring Rolls,Cha Gio,26 rolls,65.00
,,Party Trays,Party Trays,Shrimp Salad Rolls,Goi Cuon,26 rolls,65.00
,,Party Trays,Party Trays,Thai Fresh Mango Salad on Shrimp,Goi Xoai Tom,,65.00
,,Party Trays,Party Trays,Chicken Fried Rice,Com Chien Ga,,60.00
,,Party Trays,Party Trays,Shrimp Fried Rice,Com Chien Tom,,65.00
,,Party Trays,Party Trays,Chicken and Shrimp Fried Rice,"Com Chien Ga, Tom",,65.00
,,Party Trays,Party Trays,Stir Fried Chicken Chowmein,Mi Xao Ga,,60.00
,,Party Trays,Party Trays,Stir Fried Shrimp Chowmein,Mi Xao Tom,,65.00
,,Party Trays,Party Trays,Stir Friend Chicken and Shrimp Chowmein,"Mi Xao Ga, Tom",,65.00
,,Party Trays,Party Trays,Stir Fried Beef with Mixed Vegetables,Thit Bo Xao Rau Cai,,65.00
,,Party Trays,Party Trays,Deep Fried Chicken Wings,Canh Ga Chien,40 pieces,55.00
